epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.7266,2.46342,3.42952,2.53038,0.01827,0.3187,0.06469,0.04254,2.53121,4.65611,2.78637,0.067541,0.000327869,0.000327869
2,65.7553,2.33488,2.06515,2.42312,0.79756,0.31799,0.60844,0.36984,2.41891,2.44301,2.59929,0.0345192,0.000639383,0.000639383
3,80.93,2.31645,1.89215,2.42793,0.63919,0.65733,0.70571,0.40785,2.41813,2.15134,2.65924,0.00147534,0.000928896,0.000928896
4,96.0061,2.3232,1.80447,2.42591,0.6848,0.80533,0.77139,0.47582,2.34639,1.66269,2.62692,0.000901,0.000901,0.000901
5,111.144,2.23855,1.72438,2.39109,0.70548,0.74686,0.77822,0.48411,2.28541,1.60621,2.63756,0.000868,0.000868,0.000868
6,126.383,2.22559,1.63599,2.38405,0.74512,0.75952,0.81384,0.49695,2.29748,1.52587,2.65992,0.000835,0.000835,0.000835
7,141.836,2.22553,1.61641,2.40729,0.73507,0.78437,0.80303,0.4868,2.39,1.64084,2.66798,0.000802,0.000802,0.000802
8,157.185,2.21991,1.57262,2.39179,0.74513,0.83194,0.83082,0.50762,2.30133,1.51965,2.62,0.000769,0.000769,0.000769
9,172.852,2.14455,1.52626,2.36473,0.70897,0.75956,0.76624,0.48251,2.31151,1.58696,2.65947,0.000736,0.000736,0.000736
10,188.303,2.1772,1.51526,2.36932,0.72559,0.79017,0.81493,0.49327,2.40196,1.61823,2.68898,0.000703,0.000703,0.000703
11,203.861,2.15749,1.50502,2.38677,0.76126,0.83977,0.8217,0.50752,2.28502,1.53437,2.63456,0.00067,0.00067,0.00067
12,219.364,2.12063,1.44546,2.35524,0.819,0.79901,0.84396,0.5306,2.21541,1.55196,2.61626,0.000637,0.000637,0.000637
13,234.821,2.09549,1.42497,2.35165,0.76723,0.8412,0.8192,0.51571,2.26035,1.43566,2.67148,0.000604,0.000604,0.000604
14,250.295,2.08725,1.41288,2.34684,0.82514,0.82528,0.84715,0.52877,2.22885,1.41378,2.66587,0.000571,0.000571,0.000571
15,265.778,2.05507,1.37137,2.33918,0.79375,0.82841,0.84098,0.53831,2.24349,1.46738,2.6098,0.000538,0.000538,0.000538
16,281.297,2.06564,1.37682,2.34911,0.78318,0.81774,0.84495,0.52846,2.21135,1.41138,2.61062,0.000505,0.000505,0.000505
17,296.78,2.02789,1.31565,2.31128,0.78068,0.80508,0.82828,0.52496,2.23613,1.35779,2.66644,0.000472,0.000472,0.000472
18,312.301,2.03166,1.31816,2.31382,0.77127,0.85603,0.82852,0.5052,2.23595,1.45319,2.6174,0.000439,0.000439,0.000439
19,327.76,2.00163,1.30555,2.31001,0.8346,0.80207,0.839,0.52715,2.21956,1.39719,2.60338,0.000406,0.000406,0.000406
20,343.318,1.97906,1.2974,2.30294,0.81188,0.82189,0.85271,0.55109,2.20982,1.41535,2.63691,0.000373,0.000373,0.000373
21,358.792,1.94332,1.24819,2.34285,0.80393,0.83968,0.84487,0.53006,2.22538,1.422,2.61399,0.00034,0.00034,0.00034
22,373.389,1.89352,1.17737,2.31976,0.81516,0.79892,0.8484,0.53581,2.26963,1.42547,2.65307,0.000307,0.000307,0.000307
23,387.851,1.87291,1.1346,2.30151,0.80891,0.84372,0.84327,0.53313,2.22504,1.34392,2.69697,0.000274,0.000274,0.000274
24,402.374,1.83912,1.09717,2.2779,0.83485,0.83278,0.86461,0.55029,2.22767,1.30893,2.68911,0.000241,0.000241,0.000241
25,416.8,1.82767,1.08588,2.26643,0.83997,0.85758,0.87143,0.55525,2.25445,1.33744,2.71138,0.000208,0.000208,0.000208
26,431.268,1.81273,1.06993,2.27721,0.84758,0.82546,0.86065,0.54655,2.27901,1.3749,2.68267,0.000175,0.000175,0.000175
27,445.654,1.75402,1.03883,2.23534,0.80692,0.84637,0.84239,0.54164,2.21861,1.32372,2.63931,0.000142,0.000142,0.000142
28,460.12,1.74275,1.03605,2.2236,0.81274,0.86919,0.85962,0.53989,2.22102,1.30238,2.65668,0.000109,0.000109,0.000109
29,474.544,1.71138,1.00108,2.198,0.82282,0.85171,0.8673,0.55836,2.18458,1.26584,2.65946,7.6e-05,7.6e-05,7.6e-05
30,489.004,1.69135,0.99657,2.19263,0.83871,0.84542,0.86556,0.55428,2.20571,1.27866,2.64705,4.3e-05,4.3e-05,4.3e-05
